rank,id,doi,total_size_bytes,n_files,keywords,title,url
218,13319463,10.5281/zenodo.13319463,4609,1,"traits, active, taxonomic inference","Geisler et al, 2014",https://zenodo.org/records/13319463
219,13319489,10.5281/zenodo.13319489,4605,1,"traits, active","Christensen, Christensen-Dalsgaard and Madsen 2015: Christensen et al, 2015",https://zenodo.org/records/13319489
220,13319267,10.5281/zenodo.13319267,4602,1,"traits, active, taxonomic inference","Maddison et al, 2019",https://zenodo.org/records/13319267
221,13319483,10.5281/zenodo.13319483,4580,1,"traits, active","Womack et al, 2017",https://zenodo.org/records/13319483
222,13319491,10.5281/zenodo.13319491,4574,1,"traits, active, taxonomic inference","Budelmann, 1992",https://zenodo.org/records/13319491
223,13319511,10.5281/zenodo.13319511,4552,1,"traits, active, taxonomic inference","Christensen et al, 2015",https://zenodo.org/records/13319511
224,13319427,10.5281/zenodo.13319427,4548,1,"traits, active, taxonomic inference",Nebelsick 1992,https://zenodo.org/records/13319427
225,13319479,10.5281/zenodo.13319479,4525,1,"traits, active, taxonomic inference","Lindquist et al, 1998",https://zenodo.org/records/13319479
226,13319250,10.5281/zenodo.13319250,4517,1,"traits, active, taxonomic inference","Moore and Gibson, 1985",https://zenodo.org/records/13319250
227,13319576,10.5281/zenodo.13319576,4487,1,"traits, active, taxonomic inference","Borges et al, 2016",https://zenodo.org/records/13319576
228,13319473,10.5281/zenodo.13319473,4474,1,"traits, active, taxonomic inference","Vater et al, 2004",https://zenodo.org/records/13319473
229,13319186,10.5281/zenodo.13319186,4472,1,"traits, active, taxonomic inference","Kristan, 2019",https://zenodo.org/records/13319186
230,13320485,10.5281/zenodo.13320485,4453,1,"traits, active, taxonomic inference","Kaulfuss et al, 2013",https://zenodo.org/records/13320485
231,13319485,10.5281/zenodo.13319485,4421,1,"traits, active, taxonomic inference","Wever, 1975",https://zenodo.org/records/13319485
232,13319042,10.5281/zenodo.13319042,4420,1,"traits, active, taxonomic inference","Sprent, 2008",https://zenodo.org/records/13319042
233,13319481,10.5281/zenodo.13319481,4404,1,"traits, active","Boistel et al, 2013",https://zenodo.org/records/13319481
234,13319339,10.5281/zenodo.13319339,4372,1,"traits, active, taxonomic inference","Elofsson, 1966",https://zenodo.org/records/13319339
235,13319564,10.5281/zenodo.13319564,4360,1,"traits, active","Fabre et al, 2016",https://zenodo.org/records/13319564
236,13319613,10.5281/zenodo.13319613,4315,1,"traits, active, taxonomic inference","Lewis and Taylor, 1965",https://zenodo.org/records/13319613
237,13319477,10.5281/zenodo.13319477,4313,1,"traits, active","Hetherington and Lindquist, 1999",https://zenodo.org/records/13319477
238,13320957,10.5281/zenodo.13320957,4311,1,"traits, active, taxonomic inference","GANS, 1975",https://zenodo.org/records/13320957
239,15851109,10.5281/zenodo.15851109,4308,1,"traits, active, taxonomic inference","Manconi and Pronzato, 2016",https://zenodo.org/records/15851109
240,13319337,10.5281/zenodo.13319337,4304,1,"traits, active, taxonomic inference","Burr, 1984",https://zenodo.org/records/13319337
241,15851064,10.5281/zenodo.15851064,4277,1,"traits, active, taxonomic inference","Fautin and Lowenstein, 1994",https://zenodo.org/records/15851064
242,13319263,10.5281/zenodo.13319263,4270,1,"traits, active, taxonomic inference","Bullock et al, 1983",https://zenodo.org/records/13319263
243,13319032,10.5281/zenodo.13319032,4231,1,"traits, active, taxonomic inference","Stal, 2009",https://zenodo.org/records/13319032
244,13319315,10.5281/zenodo.13319315,4189,1,"traits, active, taxonomic inference","Nilsson, 2013",https://zenodo.org/records/13319315
245,13320415,10.5281/zenodo.13320415,4148,1,"traits, active, taxonomic inference",Ankel-Simons 2008,https://zenodo.org/records/13320415
246,13319371,10.5281/zenodo.13319371,4132,1,"traits, active, taxonomic inference","Warrant et al, 2003",https://zenodo.org/records/13319371
247,15851096,10.5281/zenodo.15851096,4112,1,"traits, active, taxonomic inference","De Clippele et al, 2019",https://zenodo.org/records/15851096
248,13319350,10.5281/zenodo.13319350,4110,1,"traits, active, taxonomic inference","Nev, 1979",https://zenodo.org/records/13319350
249,13320375,10.5281/zenodo.13320375,4078,1,"traits, active, taxonomic inference","Hotchkiss, 2000",https://zenodo.org/records/13320375
250,13320421,10.5281/zenodo.13320421,4077,1,"traits, active, taxonomic inference","Saunders, 2002",https://zenodo.org/records/13320421
251,13319584,10.5281/zenodo.13319584,4075,1,"traits, active, taxonomic inference","GILBERT, 1985",https://zenodo.org/records/13319584
252,13319515,10.5281/zenodo.13319515,4069,1,"traits, active, taxonomic inference","Du et al, 2016",https://zenodo.org/records/13319515
253,13320389,10.5281/zenodo.13320389,4066,1,"traits, active, taxonomic inference",Yamano et al 2000,https://zenodo.org/records/13320389
254,13319090,10.5281/zenodo.13319090,4046,1,"traits, active","Lambio, 2012",https://zenodo.org/records/13319090
255,13319413,10.5281/zenodo.13319413,4034,1,"traits, active","Lamb et al, 1987",https://zenodo.org/records/13319413
256,13319335,10.5281/zenodo.13319335,4034,1,"traits, active, taxonomic inference","Morehouse et al, 2017",https://zenodo.org/records/13319335
257,13319525,10.5281/zenodo.13319525,4033,1,"traits, active, taxonomic inference","Delwiche and Cooper, 2015",https://zenodo.org/records/13319525
258,13319383,10.5281/zenodo.13319383,4006,1,"traits, active, taxonomic inference","Beckers et al, 2019",https://zenodo.org/records/13319383
259,13319164,10.5281/zenodo.13319164,4006,1,"traits, active, taxonomic inference","Fish, 2000",https://zenodo.org/records/13319164
260,13319021,10.5281/zenodo.13319021,3999,1,"traits, active","Madigan et al, 1984",https://zenodo.org/records/13319021
261,13319519,10.5281/zenodo.13319519,3992,1,"traits, active, taxonomic inference","Bringloe et al, 2020",https://zenodo.org/records/13319519
262,15851087,10.5281/zenodo.15851087,3988,1,"traits, active, taxonomic inference","Jankowski, et al, 2007",https://zenodo.org/records/15851087
263,13319183,10.5281/zenodo.13319183,3983,1,"traits, active, taxonomic inference","Jordan, 1992",https://zenodo.org/records/13319183
264,13320443,10.5281/zenodo.13320443,3972,1,"traits, active, taxonomic inference","McDermott, 1964",https://zenodo.org/records/13320443
265,13319341,10.5281/zenodo.13319341,3971,1,"traits, active, taxonomic inference","Greven, 2007",https://zenodo.org/records/13319341
266,13319036,10.5281/zenodo.13319036,3968,1,"traits, active, taxonomic inference","Bond, 1983",https://zenodo.org/records/13319036
267,13319354,10.5281/zenodo.13319354,3958,1,"traits, active, taxonomic inference","Vidal et al, 2010",https://zenodo.org/records/13319354
268,13319325,10.5281/zenodo.13319325,3925,1,"traits, active, taxonomic inference","Garm and Nilsson, 2014",https://zenodo.org/records/13319325
269,13319261,10.5281/zenodo.13319261,3924,1,"traits, active, taxonomic inference","Hunt, 2007: Hunt 2007",https://zenodo.org/records/13319261
270,13319313,10.5281/zenodo.13319313,3918,1,"traits, active","Mejía-Ortíz and Hartnoll, 2006",https://zenodo.org/records/13319313
271,13319269,10.5281/zenodo.13319269,3910,1,"traits, active, taxonomic inference","von Reumont et al, 2014",https://zenodo.org/records/13319269
272,13320339,10.5281/zenodo.13320339,3898,1,"traits, active, taxonomic inference",Webb 2019,https://zenodo.org/records/13320339
273,13319307,10.5281/zenodo.13319307,3897,1,"traits, active, taxonomic inference","Tsurnamal, 2008",https://zenodo.org/records/13319307
274,13319100,10.5281/zenodo.13319100,3891,1,"traits, active","Hoffman and Wiklund, 2006",https://zenodo.org/records/13319100
275,13319050,10.5281/zenodo.13319050,3887,1,"traits, active","Kretschmar and Baumann, 1999",https://zenodo.org/records/13319050
276,13319303,10.5281/zenodo.13319303,3883,1,"traits, active, taxonomic inference","Tshudy et al, 2009",https://zenodo.org/records/13319303
277,13319166,10.5281/zenodo.13319166,3878,1,"traits, active, taxonomic inference","Poinar, 2010",https://zenodo.org/records/13319166
278,13319229,10.5281/zenodo.13319229,3866,1,"traits, active, taxonomic inference","Yen, 2012",https://zenodo.org/records/13319229
279,13320475,10.5281/zenodo.13320475,3852,1,"traits, active","Gastineau at al, 2022",https://zenodo.org/records/13320475
280,13319395,10.5281/zenodo.13319395,3842,1,"traits, active, taxonomic inference","Hughes, 1970",https://zenodo.org/records/13319395
281,13319114,10.5281/zenodo.13319114,3842,1,"traits, active","Travis et al, 2017",https://zenodo.org/records/13319114
282,13319170,10.5281/zenodo.13319170,3840,1,"traits, active, taxonomic inference","Strayer et al, 2010",https://zenodo.org/records/13319170
283,13320435,10.5281/zenodo.13320435,3838,1,"traits, active, taxonomic inference","Choe and Crespi, 1997",https://zenodo.org/records/13320435
284,13319367,10.5281/zenodo.13319367,3832,1,"traits, active, taxonomic inference","Land, 1980",https://zenodo.org/records/13319367
285,13319311,10.5281/zenodo.13319311,3824,1,"traits, active, taxonomic inference","McLay, 2007",https://zenodo.org/records/13319311
286,13319190,10.5281/zenodo.13319190,3821,1,"traits, active, taxonomic inference","Smith, 1937",https://zenodo.org/records/13319190
287,15851072,10.5281/zenodo.15851072,3819,1,"traits, active, taxonomic inference","Lewis, 1982",https://zenodo.org/records/15851072
288,13320377,10.5281/zenodo.13320377,3815,1,"traits, active, taxonomic inference","Elofsson, 1965",https://zenodo.org/records/13320377
289,15851037,10.5281/zenodo.15851037,3808,1,"traits, active, taxonomic inference","Brafield, 1969",https://zenodo.org/records/15851037
290,13320381,10.5281/zenodo.13320381,3804,1,"traits, active, taxonomic inference","Genikhovich and Technau, 2017",https://zenodo.org/records/13320381
291,15851081,10.5281/zenodo.15851081,3801,1,"traits, active, taxonomic inference","Houlbrèque and Ferrier‐Pagès, 2009",https://zenodo.org/records/15851081
292,13319331,10.5281/zenodo.13319331,3801,1,"traits, active","Sumner-Rooney et al, 2020",https://zenodo.org/records/13319331
293,15851055,10.5281/zenodo.15851055,3797,1,"traits, active, taxonomic inference","Guzman, 2018",https://zenodo.org/records/15851055
294,13319193,10.5281/zenodo.13319193,3796,1,"traits, active, taxonomic inference","Clark and Hermans, 1976",https://zenodo.org/records/13319193
295,13319329,10.5281/zenodo.13319329,3789,1,"traits, active, taxonomic inference","Ullrich-Lüter et al, 2011",https://zenodo.org/records/13319329
296,13319299,10.5281/zenodo.13319299,3789,1,"traits, active, taxonomic inference","Danielopol, 1990",https://zenodo.org/records/13319299
297,13319397,10.5281/zenodo.13319397,3785,1,"traits, active, taxonomic inference","Suschenko and Purschke, 2008",https://zenodo.org/records/13319397
298,13319084,10.5281/zenodo.13319084,3785,1,"traits, active",Jardine et al 2015,https://zenodo.org/records/13319084
299,13319321,10.5281/zenodo.13319321,3784,1,"traits, active, taxonomic inference","Morton, 2000",https://zenodo.org/records/13319321
300,13319281,10.5281/zenodo.13319281,3775,1,"traits, active, taxonomic inference","Parker, 1995",https://zenodo.org/records/13319281
301,13319381,10.5281/zenodo.13319381,3772,1,"traits, active, taxonomic inference","Vodopyanov and Purschke, 2017",https://zenodo.org/records/13319381
302,13319344,10.5281/zenodo.13319344,3758,1,"traits, active, taxonomic inference","Mayer, 2006",https://zenodo.org/records/13319344
303,13320367,10.5281/zenodo.13320367,3739,1,"traits, active, taxonomic inference","Starko, 2019",https://zenodo.org/records/13320367
304,13319393,10.5281/zenodo.13319393,3739,1,"traits, active, taxonomic inference","Koppetsch et al, 2019",https://zenodo.org/records/13319393
305,13319195,10.5281/zenodo.13319195,3736,1,"traits, active, taxonomic inference","Spain, 2002",https://zenodo.org/records/13319195
306,13320199,10.5281/zenodo.13320199,3724,1,"traits, active, taxonomic inference","Grabowsky, 1994b",https://zenodo.org/records/13320199
307,13319283,10.5281/zenodo.13319283,3720,1,"traits, active, taxonomic inference","Kornicker, 1991",https://zenodo.org/records/13319283
308,13320601,10.5281/zenodo.13320601,3717,1,"traits, active","Ax and Dörjes, 1966",https://zenodo.org/records/13320601
309,13319305,10.5281/zenodo.13319305,3714,1,"traits, active, taxonomic inference","Bruce, 1988",https://zenodo.org/records/13319305
310,13319080,10.5281/zenodo.13319080,3711,1,"traits, active",Jonkers et al 1997,https://zenodo.org/records/13319080
311,13319271,10.5281/zenodo.13319271,3710,1,"traits, active, taxonomic inference","Elofsson and Hessler, 1990",https://zenodo.org/records/13319271
312,13319221,10.5281/zenodo.13319221,3694,1,"traits, active, taxonomic inference","Buskey et al, 2012",https://zenodo.org/records/13319221
313,13319360,10.5281/zenodo.13319360,3689,1,"traits, active, taxonomic inference","Daniels et al, 2002",https://zenodo.org/records/13319360
314,13319275,10.5281/zenodo.13319275,3680,1,"traits, active, taxonomic inference","Yager, 1981",https://zenodo.org/records/13319275
315,13320493,10.5281/zenodo.13320493,3676,1,"traits, active, taxonomic inference","Kanzaki et al, 2017",https://zenodo.org/records/13320493
316,13319254,10.5281/zenodo.13319254,3661,1,"traits, active, taxonomic inference","Renous et al, 2007",https://zenodo.org/records/13319254
317,13320239,10.5281/zenodo.13320239,3654,1,"traits, active, taxonomic inference","Yoon et al, 2006",https://zenodo.org/records/13320239
318,13319217,10.5281/zenodo.13319217,3645,1,"traits, active, taxonomic inference","Lauga, 2006",https://zenodo.org/records/13319217
319,13319523,10.5281/zenodo.13319523,3643,1,"traits, active, taxonomic inference","Rintoul et al, 1999",https://zenodo.org/records/13319523
320,13319173,10.5281/zenodo.13319173,3643,1,"traits, active, taxonomic inference","Kolasa and Tyler, 2010",https://zenodo.org/records/13319173
321,13320205,10.5281/zenodo.13320205,3642,1,"traits, active, taxonomic inference","Francis, 1979",https://zenodo.org/records/13320205
322,13319203,10.5281/zenodo.13319203,3642,1,"traits, active, taxonomic inference","Grabowsky, 1994",https://zenodo.org/records/13319203
323,13320491,10.5281/zenodo.13320491,3633,1,"traits, active","NEWMAN AND CANNON, 1997",https://zenodo.org/records/13320491
324,13319365,10.5281/zenodo.13319365,3628,1,"traits, active, taxonomic inference","Kazilas et al, 2018",https://zenodo.org/records/13319365
325,13320228,10.5281/zenodo.13320228,3616,1,"traits, active, taxonomic inference","Govindarajan et al, 2011",https://zenodo.org/records/13320228
326,13319188,10.5281/zenodo.13319188,3614,1,"traits, active, taxonomic inference","Burr and Robinson, 2004",https://zenodo.org/records/13319188
327,13319209,10.5281/zenodo.13319209,3610,1,"traits, active, taxonomic inference","CLARK, 2019",https://zenodo.org/records/13319209
328,13320379,10.5281/zenodo.13320379,3606,1,"traits, active, taxonomic inference","Cartwright, 2003",https://zenodo.org/records/13320379
329,13319052,10.5281/zenodo.13319052,3605,1,"traits, active","Negrin et al, 2019",https://zenodo.org/records/13319052
330,13319362,10.5281/zenodo.13319362,3589,1,"traits, active","Roscito and Rodrigues, 2012",https://zenodo.org/records/13319362
331,13319568,10.5281/zenodo.13319568,3581,1,"traits, active, taxonomic inference","Hunt et al, 2009",https://zenodo.org/records/13319568
332,13320335,10.5281/zenodo.13320335,3575,1,"traits, active, taxonomic inference","Sorensen et al, 2008",https://zenodo.org/records/13320335
333,13319423,10.5281/zenodo.13319423,3575,1,"traits, active, taxonomic inference",Bone and James 1993,https://zenodo.org/records/13319423
334,13319346,10.5281/zenodo.13319346,3566,1,"traits, active, taxonomic inference","Higgins, 1960",https://zenodo.org/records/13319346
335,13319064,10.5281/zenodo.13319064,3545,1,"traits, active","Trova et al, 1994",https://zenodo.org/records/13319064
336,13319517,10.5281/zenodo.13319517,3538,1,"traits, active, taxonomic inference","Rogers et al, 1980",https://zenodo.org/records/13319517
337,13320355,10.5281/zenodo.13320355,3535,1,"traits, active, taxonomic inference","Chia, 1966",https://zenodo.org/records/13320355
338,13320209,10.5281/zenodo.13320209,3525,1,"traits, active, taxonomic inference","McFadden et al, 2010",https://zenodo.org/records/13320209
339,13319120,10.5281/zenodo.13319120,3516,1,"traits, active, taxonomic inference","Ashley-Ross, 1994",https://zenodo.org/records/13319120
340,13320329,10.5281/zenodo.13320329,3487,1,"traits, active, taxonomic inference","Fuchs et al, 2010",https://zenodo.org/records/13320329
341,13319586,10.5281/zenodo.13319586,3479,1,"traits, active, taxonomic inference","Owens and Lewis, 2018",https://zenodo.org/records/13319586
342,13319415,10.5281/zenodo.13319415,3472,1,"traits, active, taxonomic inference","Cubo, 2000",https://zenodo.org/records/13319415
343,13319025,10.5281/zenodo.13319025,3462,1,"traits, active","Lesser et al, 2004",https://zenodo.org/records/13319025
344,13319431,10.5281/zenodo.13319431,3450,1,"traits, active, taxonomic inference",Mackenzie 2003,https://zenodo.org/records/13319431
345,13319240,10.5281/zenodo.13319240,3430,1,"traits, active, taxonomic inference","Coe, 1927",https://zenodo.org/records/13319240
346,13319108,10.5281/zenodo.13319108,3401,1,"traits, active","Park et al, 2017",https://zenodo.org/records/13319108
347,13320341,10.5281/zenodo.13320341,3388,1,"traits, active","Herranz et al, 2021",https://zenodo.org/records/13320341
348,13320311,10.5281/zenodo.13320311,3376,1,"traits, active, taxonomic inference","Suzuki et al, 2010",https://zenodo.org/records/13320311
349,13319009,10.5281/zenodo.13319009,3364,1,"traits, active, taxonomic inference",Stanier and Cohen-Bazire 1977,https://zenodo.org/records/13319009
350,13320349,10.5281/zenodo.13320349,3356,1,"traits, active, taxonomic inference","Berking, 2007",https://zenodo.org/records/13320349
351,13320212,10.5281/zenodo.13320212,3355,1,"traits, active, taxonomic inference","Ryland, 1997",https://zenodo.org/records/13320212
352,13319592,10.5281/zenodo.13319592,3353,1,"traits, active","Wcislo et al, 2004",https://zenodo.org/records/13319592
353,13320232,10.5281/zenodo.13320232,3334,1,"traits, active, taxonomic inference","Robin et al, 2018",https://zenodo.org/records/13320232
354,13320261,10.5281/zenodo.13320261,3329,1,"traits, active, taxonomic inference","Panganiban et al, 1997",https://zenodo.org/records/13320261
355,13320243,10.5281/zenodo.13320243,3323,1,"traits, active","Alava and Aguirre, 2005",https://zenodo.org/records/13320243
356,13319590,10.5281/zenodo.13319590,3314,1,"traits, active, taxonomic inference","Steinbauer and Weir, 2007",https://zenodo.org/records/13319590
357,13320195,10.5281/zenodo.13320195,3313,1,"traits, active, taxonomic inference","Paul and Smith,  1984",https://zenodo.org/records/13320195
358,13319244,10.5281/zenodo.13319244,3312,1,"traits, active, taxonomic inference",Sundberg and Gibson 2007,https://zenodo.org/records/13319244
359,13320265,10.5281/zenodo.13320265,3307,1,"traits, active, taxonomic inference","Marshall and Valentine, 2010",https://zenodo.org/records/13320265
360,13319144,10.5281/zenodo.13319144,3294,1,"traits, active, taxonomic inference","Snyder, 1952",https://zenodo.org/records/13319144
361,13320313,10.5281/zenodo.13320313,3289,1,"traits, active, taxonomic inference","Littlewood and Bray, 2000",https://zenodo.org/records/13320313
362,13319158,10.5281/zenodo.13319158,3283,1,"traits, active, taxonomic inference","Wyneken, 1996",https://zenodo.org/records/13319158
363,13319570,10.5281/zenodo.13319570,3282,1,"traits, active, taxonomic inference","Iwaniuk et al, 2020",https://zenodo.org/records/13319570
364,13319407,10.5281/zenodo.13319407,3282,1,"traits, active, taxonomic inference","Wilkinson et al, 2003",https://zenodo.org/records/13319407
365,13320236,10.5281/zenodo.13320236,3270,1,"traits, active, taxonomic inference","Lavrov et al, 2004",https://zenodo.org/records/13320236
366,13320299,10.5281/zenodo.13320299,3262,1,"traits, active, taxonomic inference","Strand and Sundberg, 2015",https://zenodo.org/records/13320299
367,13320263,10.5281/zenodo.13320263,3259,1,"traits, active, taxonomic inference","Ma et al, 2010",https://zenodo.org/records/13320263
368,13319056,10.5281/zenodo.13319056,3259,1,"traits, active","Okoli et al, 2012",https://zenodo.org/records/13319056
369,13320226,10.5281/zenodo.13320226,3253,1,"traits, active, taxonomic inference","Hageman, 2003",https://zenodo.org/records/13320226
370,13320281,10.5281/zenodo.13320281,3250,1,"traits, active, taxonomic inference","Littlewood et al, 1998",https://zenodo.org/records/13320281
371,13320361,10.5281/zenodo.13320361,3249,1,"traits, active, taxonomic inference","Dunn et al, 2015",https://zenodo.org/records/13320361
372,13319401,10.5281/zenodo.13319401,3246,1,"traits, active, taxonomic inference","Nussbaum, 1985",https://zenodo.org/records/13319401
373,13320255,10.5281/zenodo.13320255,3241,1,"traits, active, taxonomic inference","Edmondst, 2000",https://zenodo.org/records/13320255
374,13320309,10.5281/zenodo.13320309,3229,1,"traits, active, taxonomic inference","Halanych, 1996",https://zenodo.org/records/13320309
375,13320269,10.5281/zenodo.13320269,3217,1,"traits, active, taxonomic inference","Kanneby, 2016",https://zenodo.org/records/13320269
376,13319140,10.5281/zenodo.13319140,3201,1,"traits, active, taxonomic inference","Lindsey, 1978",https://zenodo.org/records/13319140
377,13320301,10.5281/zenodo.13320301,3189,1,"traits, active, taxonomic inference","Altman, 1965",https://zenodo.org/records/13320301
378,13320197,10.5281/zenodo.13320197,3189,1,"traits, active, taxonomic inference","Smirnov, 2014",https://zenodo.org/records/13320197
379,13319060,10.5281/zenodo.13319060,3184,1,"traits, active","Baumann et al, 1995",https://zenodo.org/records/13319060
380,13319054,10.5281/zenodo.13319054,3157,1,"traits, active","Bogo and Mantle, 2000",https://zenodo.org/records/13319054
381,13319068,10.5281/zenodo.13319068,3151,1,"traits, active","Steinke et al, 2018",https://zenodo.org/records/13319068
382,13320283,10.5281/zenodo.13320283,3142,1,"traits, active, taxonomic inference","Boyle and Rice, 2018",https://zenodo.org/records/13320283
383,13319405,10.5281/zenodo.13319405,3139,1,"traits, active, taxonomic inference","Wilkinson et al, 2011",https://zenodo.org/records/13319405
384,13320333,10.5281/zenodo.13320333,3118,1,"traits, active, taxonomic inference","Emig, 1985",https://zenodo.org/records/13320333
385,13319572,10.5281/zenodo.13319572,3109,1,"traits, active","Le Duc et al, 2015",https://zenodo.org/records/13319572
386,13319102,10.5281/zenodo.13319102,3100,1,"traits, active","Martin, 2000",https://zenodo.org/records/13319102
387,13319156,10.5281/zenodo.13319156,3096,1,"traits, active, taxonomic inference","Gatesy & Middleton, 1997",https://zenodo.org/records/13319156
388,13319122,10.5281/zenodo.13319122,3088,1,"traits, active, taxonomic inference","Lovegrove and Haines, 2004",https://zenodo.org/records/13319122
389,13319152,10.5281/zenodo.13319152,3083,1,"traits, active, taxonomic inference","HABIB, 2010",https://zenodo.org/records/13319152
390,13320287,10.5281/zenodo.13320287,3082,1,"traits, active, taxonomic inference","Schmidt-Rhaesa, 2012",https://zenodo.org/records/13320287
391,13319132,10.5281/zenodo.13319132,3054,1,"traits, active, taxonomic inference","Lovegrove, 2004",https://zenodo.org/records/13319132
392,13319070,10.5281/zenodo.13319070,3052,1,"traits, active","Vettikkat et al, 2020",https://zenodo.org/records/13319070
393,13319106,10.5281/zenodo.13319106,3042,1,"traits, active","Jori et al, 1998",https://zenodo.org/records/13319106
394,13319130,10.5281/zenodo.13319130,3030,1,"traits, active, taxonomic inference","Hatt, 1932",https://zenodo.org/records/13319130
395,13319242,10.5281/zenodo.13319242,3017,1,"traits, active, taxonomic inference","Norenburg, 1985",https://zenodo.org/records/13319242
396,13319148,10.5281/zenodo.13319148,3005,1,"traits, active, taxonomic inference","Garland and Losos, 1994",https://zenodo.org/records/13319148
397,13319078,10.5281/zenodo.13319078,2961,1,"traits, active",Stensmyr et al 2002,https://zenodo.org/records/13319078
398,13319072,10.5281/zenodo.13319072,2930,1,"traits, active","Geng and Mu, 2005",https://zenodo.org/records/13319072
399,13319142,10.5281/zenodo.13319142,2911,1,"traits, active, taxonomic inference","Schaefer and Summers, 2005",https://zenodo.org/records/13319142
400,13313676,10.5281/zenodo.13313676,2868,1,"traits, media, descriptions, active, textmining",World Register of Marine Species,https://zenodo.org/records/13313676
401,13319248,10.5281/zenodo.13319248,2865,1,"traits, active, taxonomic inference","Moore and Gibson, 1981",https://zenodo.org/records/13319248
402,13319136,10.5281/zenodo.13319136,2852,1,"traits, active, taxonomic inference","Webb, 1984",https://zenodo.org/records/13319136
403,13319150,10.5281/zenodo.13319150,2835,1,"traits, active, taxonomic inference","Johnsgard, 1962",https://zenodo.org/records/13319150
404,13319126,10.5281/zenodo.13319126,2786,1,"traits, active, taxonomic inference","Alexander, 2004",https://zenodo.org/records/13319126
405,13319146,10.5281/zenodo.13319146,2759,1,"traits, active, taxonomic inference","Shen et al, 2010: Shen, 2010",https://zenodo.org/records/13319146
406,13319124,10.5281/zenodo.13319124,2746,1,"traits, active, taxonomic inference","Biewener, 1989",https://zenodo.org/records/13319124
407,13319138,10.5281/zenodo.13319138,2740,1,"traits, active, taxonomic inference","Hove et al, 2001",https://zenodo.org/records/13319138
408,13318052,10.5281/zenodo.13318052,2462,1,"traits, active",Metrics: Data Hubs data coverage - genus level,https://zenodo.org/records/13318052
409,14890088,10.5281/zenodo.14890088,1749,1,"traits, geography, media, descriptions, active, textmining",Comparative Cytogenetics: Comparative Cytogenetics (554),https://zenodo.org/records/14890088
410,13318040,10.5281/zenodo.13318040,844,1,"traits, active",Metrics: Data Hubs data coverage - family level,https://zenodo.org/records/13318040
411,18673514,10.5281/zenodo.18673514,0,0,"traits, descriptions, media, active",WoRMS internal: World Register of Marine Species,https://zenodo.org/records/18673514
